        46       561 1.06400+2 1.20200+1 46-Pd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 4.93306-6-4.16201+1 4.37994+0-4.56844+1 4.06431+0 2.57997+0 0.0       2.57997+0 2.75293+1
 4.94508-6-4.10985+1 4.90152+0-4.56879+1 4.58942+0 4.01570+0 0.0       4.01570+0 3.48895+1
 4.94961-6-4.09877+1 5.01228+0-4.56892+1 4.70150+0 4.70966+0 0.0       4.70966+0 3.77953+1
 4.95640-6-4.10385+1 4.96148+0-4.56912+1 4.65270+0 5.75295+0 0.0       5.75295+0 4.22073+1
 4.96318-6-4.12644+1 4.73557+0-4.56932+1 4.42878+0 6.79909+0 0.0       6.79909+0 4.65918+1
 4.97217-6-4.18284+1 4.17163+0-4.56958+1 3.86747+0 8.18997+0 0.0       8.18997+0 5.21649+1
 4.97666-6-4.22437+1 3.75633+0-4.56972+1 3.45349+0 8.88728+0 0.0       8.88728+0 5.47797+1
 4.98115-6-4.28096+1 3.19041+0-4.56985+1 2.88888+0 9.58583+0 0.0       9.58583+0 5.72375+1
 4.99017-6-4.41320+1 1.86799+0-4.57011+1 1.56911+0 1.06182+1 0.0       1.06182+1 6.15784+1
 4.99618-6-4.52533+1 7.46690-1-4.57029+1 4.49570-1 1.11335+1 0.0       1.11335+1 6.39478+1
 5.00069-6-4.60436+1-4.36361-2-4.57042+1-3.39434-1 1.13895+1 0.0       1.13895+1 6.54127+1
 5.00295-6-4.64602+1-4.60223-1-4.57049+1-7.55360-1 1.15176+1 0.0       1.15176+1 6.60388+1
 5.00393-6-4.66555+1-6.55471-1-4.57052+1-9.50320-1 1.15737+1 0.0       1.15737+1 6.62898+1
 5.00425-6-4.66780+1-6.77974-1-4.57052+1-9.72729-1 1.15917+1 0.0       1.15917+1 6.63674+1
 5.00502-6-4.65053+1-5.05330-1-4.57055+1-7.99858-1 1.16357+1 0.0       1.16357+1 6.65507+1
 5.00539-6-4.64076+1-4.07591-1-4.57056+1-7.02012-1 1.16440+1 0.0       1.16440+1 6.66344+1
 5.01722-6-4.41293+1 1.87067+0-4.57090+1 1.57972+0 1.15264+1 0.0       1.15264+1 6.82643+1
 5.02023-6-4.35381+1 2.46192+0-4.57099+1 2.17185+0 1.13143+1 0.0       1.13143+1 6.83427+1
 5.02925-6-4.20380+1 3.96200+0-4.57126+1 3.67458+0 1.06766+1 0.0       1.06766+1 6.77809+1
 5.03406-6-4.13124+1 4.68759+0-4.57140+1 4.40158+0 1.01023+1 0.0       1.01023+1 6.70146+1
 5.04127-6-4.04988+1 5.50119+0-4.57161+1 5.21729+0 9.23858+0 0.0       9.23858+0 6.53088+1
