        64       825 1.57250+2 7.90040+0 64-Gd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 2.05335-6-6.31178+1 8.82158-1-5.00260+1-1.30918+1 1.23108-5 0.0       1.23108-5 5.30852-1
 2.05832-6-6.31075+1 8.92550-1-5.00264+1-1.30810+1 1.50728-5 0.0       1.50728-5 5.43394-1
 2.06329-6-6.30970+1 9.03029-1-5.00269+1-1.30701+1 1.70356-5 0.0       1.70356-5 5.56199-1
 2.06826-6-6.30864+1 9.13598-1-5.00273+1-1.30591+1 1.77735-5 0.0       1.77735-5 5.69272-1
 2.07323-6-6.30757+1 9.24258-1-5.00277+1-1.30480+1 1.71176-5 0.0       1.71176-5 5.82620-1
 2.07820-6-6.30650+1 9.35009-1-5.00281+1-1.30369+1 1.52184-5 0.0       1.52184-5 5.96256-1
 2.08317-6-6.30541+1 9.45855-1-5.00286+1-1.30256+1 1.24895-5 0.0       1.24895-5 6.10198-1
 2.09310-6-6.30322+1 9.67834-1-5.00294+1-1.30028+1 6.61704-6 0.0       6.61704-6 6.39124-1
 2.09807-6-6.30210+1 9.78969-1-5.00298+1-1.29912+1 4.27173-6 0.0       4.27173-6 6.54193-1
 2.10304-6-6.30098+1 9.90202-1-5.00303+1-1.29795+1 2.54565-6 0.0       2.54565-6 6.69735-1
 2.10801-6-6.29985+1 1.00153+0-5.00307+1-1.29678+1 1.40038-6 0.0       1.40038-6 6.85796-1
 2.11298-6-6.29870+1 1.01297+0-5.00311+1-1.29559+1 7.11129-7 0.0       7.11129-7 7.02412-1
 2.11794-6-6.29755+1 1.02450+0-5.00315+1-1.29440+1 0.0       0.0       0.0       7.19591-1
 2.21363-6-6.27316+1 1.26839+0-5.00398+1-1.26919+1 0.0       0.0       0.0       1.10062+0
 2.21908-6-6.27164+1 1.28365+0-5.00402+1-1.26761+1 2.14133-8 0.0       2.14133-8 1.12579+0
 2.22453-6-6.27009+1 1.29907+0-5.00407+1-1.26602+1 4.23711-8 0.0       4.23711-8 1.15184+0
 2.22998-6-6.26853+1 1.31466+0-5.00412+1-1.26442+1 7.73942-8 0.0       7.73942-8 1.17879+0
 2.23543-6-6.26696+1 1.33041+0-5.00416+1-1.26280+1 1.30497-7 0.0       1.30497-7 1.20662+0
 2.24088-6-6.26537+1 1.34634+0-5.00421+1-1.26116+1 2.03118-7 0.0       2.03118-7 1.23530+0
 2.24633-6-6.26376+1 1.36244+0-5.00426+1-1.25950+1 2.91843-7 0.0       2.91843-7 1.26479+0
 2.25177-6-6.26213+1 1.37873+0-5.00430+1-1.25782+1 3.87083-7 0.0       3.87083-7 1.29506+0
 2.25722-6-6.26048+1 1.39519+0-5.00435+1-1.25613+1 4.73928-7 0.0       4.73928-7 1.32609+0
 2.26267-6-6.25882+1 1.41183+0-5.00440+1-1.25442+1 5.35642-7 0.0       5.35642-7 1.35788+0
 2.26812-6-6.25713+1 1.42866+0-5.00444+1-1.25269+1 5.58844-7 0.0       5.58844-7 1.39044+0
 2.27357-6-6.25543+1 1.44568+0-5.00449+1-1.25094+1 5.38222-7 0.0       5.38222-7 1.42379+0
 2.27902-6-6.25371+1 1.46290+0-5.00454+1-1.24917+1 4.78504-7 0.0       4.78504-7 1.45798+0
 2.28447-6-6.25197+1 1.48031+0-5.00458+1-1.24738+1 3.92702-7 0.0       3.92702-7 1.49306+0
 2.29536-6-6.24843+1 1.51573+0-5.00468+1-1.24375+1 2.08057-7 0.0       2.08057-7 1.56630+0
 2.30081-6-6.24662+1 1.53376+0-5.00472+1-1.24190+1 1.34314-7 0.0       1.34314-7 1.60475+0
 2.30626-6-6.24480+1 1.55199+0-5.00477+1-1.24003+1 8.00416-8 0.0       8.00416-8 1.64464+0
 2.31171-6-6.24296+1 1.57045+0-5.00482+1-1.23814+1 4.40316-8 0.0       4.40316-8 1.68612+0
 2.31716-6-6.24109+1 1.58912+0-5.00487+1-1.23622+1 2.23597-8 0.0       2.23597-8 1.72932+0
 2.32261-6-6.23920+1 1.60801+0-5.00491+1-1.23429+1 0.0       0.0       0.0       1.77427+0
 2.42615-6-6.19834+1 2.01664+0-5.00580+1-1.19254+1 0.0       0.0       0.0       2.81130+0
 2.52969-6-6.14440+1 2.55599+0-5.00673+1-1.13767+1 0.0       0.0       0.0       4.48843+0
 2.53592-6-6.14056+1 2.59443+0-5.00680+1-1.13376+1 2.8248-15 0.0       2.8248-15 4.61576+0
 2.54215-6-6.13662+1 2.63376+0-5.00686+1-1.12977+1 5.5895-15 0.0       5.5895-15 4.75018+0
 2.54837-6-6.13260+1 2.67401+0-5.00692+1-1.12568+1 1.0210-14 0.0       1.0210-14 4.89203+0
 2.55460-6-6.12848+1 2.71524+0-5.00698+1-1.12149+1 1.7215-14 0.0       1.7215-14 5.04147+0
